county_name,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25
Bayfield,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Brown,,,,,,,,,,,,,,1,2,2,3,3,3,3,3
Calumet,,,,,,,,,,,,,,,1,1,1,1,1,1,1
Chippewa,,,,,,,,,,,,,,,,1,1,1,1,2,1
Columbia,,,,,,,,,,,,,,,4,5,5,5,5,5,5
Dane,,,,,,,,2,6,6,6,10,19,23,27,32,49,61,61,72,88
Dodge,,,,,,,,,,,,,,,,,,,2,2,3
Douglas,,,,,,,,,,,,,,,,1,1,1,2,4,4
Dunn,,,,,,,,,,,,,,,,1,1,1,1,1,1
Eau Claire,,,,,,,,,,,,,,,1,1,2,4,4,4,5
Fond du Lac,1,1,1,1,1,1,3,3,6,6,11,11,11,12,14,14,15,16,16,18,18
Grant,,,,,,,,,,,,,,,,,,,,,1
Green,,,,,,,,,,,,,,,,1,1,1,1,1,1
Iowa,,,,,,,,,,,,,,,,,,,,,3
Jefferson,,,,,,,,,,,,,,,,1,1,2,2,4,5
Kenosha,,,,,,,,,,,,,4,4,4,4,5,10,12,13,14
La Crosse,,,,,,,,,,,,,,1,2,4,5,5,5,5,10
Marathon,,,,,,,,,,,,,,,,1,1,1,1,1,1
Milwaukee,,,,,,,,,2,6,7,13,24,47,62,85,126,182,204,219,290
Monroe,,,,,,,,,,,,,,,,,,,,,1
Outagamie,,,,,,,,,,,,1,1,1,1,2,2,2,2,2,4
Ozaukee,,,,,,,,,,,,,,,3,7,11,13,14,16,20
Pierce,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
Racine,,,,,,,,,1,1,1,1,1,1,3,3,4,4,5,5,7
Rock,,,,,,,,,,,,,,,,1,3,3,3,3,4
Sauk,,,,,,,,,,,,,,,1,2,2,2,3,4,6
Sheboygan,,,,,,,,,3,3,3,3,3,4,6,6,6,6,6,6,7
St. Croix,,,,,,,,,,,,,,,,2,2,2,3,4,4
Walworth,,,,,,,,,,,,,,,2,3,3,3,3,4,5
Washington,,,,,,,,,,,,,,2,2,3,3,14,15,17,21
Waukesha,,,,,,,,,1,3,3,3,4,5,12,15,20,30,31,31,42
Winnebago,,,,,,,,,0,1,1,3,3,3,5,5,5,5,5,5,5
Wood,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1
Total,1,1,1,1,2,2,4,7,19,27,33,47,72,106,155,206,281,381,416,457,585
Negative,24,31,31,31,36,43,53,84,169,246,313,504,1038,1577,2192,3455,4628,6230,7050,8237,10089
