county_name,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25
Bayfield,,,,,,,
Brown,,,,,,,
Calumet,,,,,,,
Chippewa,,,,,,,
Columbia,,,,,,,
Dane,,,,,,,1
Douglas,,,,,,,
Dunn,,,,,,,
Eau Claire,,,,,,,
Fond du Lac,1,1,1,1,1,1,1
Green,,,,,,,
Jefferson,,,,,,,
Kenosha,,,,,,,
La Crosse,,,,,,,
Marathon,,,,,,,
Milwaukee,1,1,2,2,3,3,3
Outagamie,,,,,,,
Ozaukee,1,1,1,1,1,1,1
Pierce,,,,,,,
Racine,,,,,,,
Rock,,,,,,,
Sauk,,,,,,,
Sheboygan,,,,,,,
St. Croix,,,,,,,
Walworth,,,,,,,
Washington,,,,,,,
Waukesha,,,,,,,
Winnebago,,,,,,,
Wood,,,,,,,
Total,3,3,4,4,5,5,6
